	TF_1	TF_2	TF_3	TF_4	TF_5	TF_6	TF_7	TF_8	TF_9	TF_10	TF_11	TF_12	TF_13	TF_14	TF_15	TF_16	TF_17	TF_18	TF_19	TF_20	TF_21	TF_22	TF_23	TF_24	TF_25	TF_26	TF_27	TF_28	TF_29	TF_30	TF_31	TF_32	TF_33	TF_34	TF_35	TF_36	TF_37	TF_38	TF_39	TF_40	TF_41	TF_42	TF_43	TF_44	TF_45	TF_46	TF_47	TF_48	TF_49	TF_50
Cell_120	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	-1	0	-1	0	1	0	0	0	0	1	-1	0	1	0	0	1	0	-1	0	0	0	1	0	-1	0	0	0	-1
Cell_121	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	0	-1	0	0	0	0	0	0	0	1	0	1	1	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	0	-1	-1	1	0
Cell_122	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	-1	0	-1	0	0	0	0	0	0	1	-1	1	1	-1	-1	0	0
Cell_123	0	0	1	0	0	0	0	-1	1	0	0	1	0	1	0	-1	0	0	0	-1	0	0	-1	1	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_124	0	0	-1	0	1	0	0	0	1	-1	-1	0	1	-1	0	0	0	0	0	0	1	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	-1	0	0	0
Cell_125	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	-1	0	0	-1	-1	0	0	-1	0	0	0	0	1	0	0	-1	1	0	0	0	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_126	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	-1	-1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	-1	0	0
Cell_127	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	1	-1	-1
Cell_128	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	-1	1	0	-1	0	0
Cell_129	0	0	1	0	0	0	0	0	1	-1	-1	0	1	-1	1	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	-1	-1	0	0	0	0	-1	-1	0	0
Cell_130	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	1	0	-1	1	0	1	0	0	1	0	-1	1	0
Cell_131	0	-1	0	0	0	0	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	-1	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_132	0	0	0	0	0	0	-1	0	1	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	-1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	-1	-1	0	0
Cell_133	0	0	0	1	0	0	1	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_134	-1	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	-1	-1	0	0
Cell_135	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-1	0	0	1	-1	0	1	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	-1	1	0	0	1	0	-1	0	0
Cell_136	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	-1	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_137	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	-1	0	0	0	0	1	0	-1	-1	0
Cell_138	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_139	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	1	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	1	0	-1	1	0	0	0	0	0	0	0	1
Cell_140	0	0	0	-1	-1	0	0	0	1	0	-1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	-1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	-1	-1	0	0
Cell_141	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	1	0	1	0	0	0	-1	0
Cell_142	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	-1	0	0	0	-1	-1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_143	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	-1	0	1	0	1	1	0	0	0	0	0	0	0	1
Cell_144	0	0	0	0	0	0	0	-1	1	1	-1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	-1	-1	-1	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	-1	0	0	-1	-1	0	0
Cell_145	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	-1	0	1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	-1
Cell_146	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_147	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	-1	0	0	0	0	0	0	0	-1	0	-1
Cell_148	0	0	0	1	0	-1	0	-1	0	-1	0	0	-1	1	0	-1	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	1	0	0	1	-1	0	1	0	0	-1	-1	1	0	0	1
Cell_149	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	1	0	0	0	1	0	0	0	0	0	0	-1	0	-1	1	1	0	-1	1	-1	0	0	0	0
Cell_150	0	0	1	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	-1	1	0	0	1	-1	0	0	-1	0	0	0	1	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	-1
Cell_151	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	-1	0	0	0	-1	0	0	-1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	1	1	-1	0	1	0	0	0	0	0
Cell_152	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1
Cell_153	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	-1	0	0	1	-1	0	0	-1	1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	1	0	0	1	0	0	0	0	0
Cell_154	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	-1	0	0	0	0	1
Cell_155	0	0	0	0	0	0	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_156	0	-1	1	0	0	0	-1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	-1	1	0	0	0	-1	-1	0	-1	1	0	0	0	-1	0	0	0	-1	-1	1	1	0	0	1	0	-1	0	0
Cell_157	0	0	0	0	0	0	1	0	0	0	-1	0	-1	1	-1	0	0	0	0	0	0	1	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	-1	0	1	0	0	0	0	0	-1
Cell_158	0	0	0	0	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_159	0	0	0	0	0	0	0	1	1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	1	-1	1	1	0	-1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	-1
Cell_160	-1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	-1	0	0	0	1	0	1	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_161	0	0	0	0	0	0	-1	0	-1	0	-1	0	1	1	-1	1	1	-1	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	0	0	0
Cell_162	0	-1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	-1	1	0	0	1	0	-1	0	-1
Cell_163	0	0	0	0	0	0	1	0	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_164	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	-1	0	0	0	-1	0	1	1	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_165	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0	0	0	-1	0	0	1	1	0	0	1	1	0	-1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	-1	-1	1	0
Cell_166	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	1	-1	0	-1	0	-1	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	1	0	0	1	0	0	1	0	0	0	1	0
Cell_167	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	-1	0	0	-1	0	0	0	0	0	0	1	1	-1	0	0	1	0	0	0	0	-1	0	-1	0	0	0	1
Cell_168	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	-1	0	-1	0	-1	0	1	1	0	1	-1	0	0	0	1	0	0	1	0	-1	-1	0	0	1	0	0	0	-1	1	-1
Cell_169	0	0	0	0	0	-1	0	0	0	1	0	0	-1	0	0	0	-1	0	0	0	1	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0	1	0	0	0	0	1	1	0	1	-1	-1	1	0	0	0	0	1
Cell_170	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	-1	1	0	0	1	0	0	0	0	0	-1
Cell_171	0	1	-1	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	-1	-1	0	0	1	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_172	0	-1	0	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	1	0	1	0	0	0	0	1	-1
Cell_173	0	0	1	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	1	0	0	0	0	-1	0	0	-1	0	-1	-1	0	0	1	1	0	0	-1	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Cell_174	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	-1	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	1	0	-1	1	-1
Cell_175	-1	0	1	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_176	0	0	0	-1	0	-1	0	0	1	1	-1	0	-1	0	0	0	0	0	0	-1	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
Cell_177	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	0	1	0	0	0	0	-1	0	0	0	-1	0	-1	1	-1	0	1	0	-1	1	0
Cell_178	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	-1	0	0	0	1	0	0	0	1	0	-1
Cell_179	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	-1	0	-1	0	0	1	0	0	-1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	-1
Cell_180	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	-1	0	-1	0	1	0	0	1	0	1	0	0	-1	0	0	0	-1	0	0	1	1	1	0	0	0	0	0	0	-1	0	0	-1	-1	0	0
Cell_181	-1	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	-1	0	0	1	1	1	0	1	0	0	1	0	1
Cell_182	0	0	0	0	0	0	1	0	0	0	-1	0	-1	1	0	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	-1	0	0	0	1	0	0	0	0	0	-1
Cell_183	0	0	0	0	0	-1	0	1	1	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0
Cell_184	-1	0	1	0	0	0	-1	0	0	-1	0	1	0	1	0	0	0	0	0	0	1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Cell_185	0	-1	0	-1	0	0	0	0	1	0	-1	0	-1	-1	0	0	0	0	1	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	1	1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0
Cell_186	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	1	1	0	0	0	0	-1	0	0	0	0	-1	-1	-1	0	0
Cell_187	-1	0	0	0	0	0	1	0	0	-1	0	-1	-1	1	1	0	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_188	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	-1	0	0	1	0	0	0	0	0	1	0	1	0	-1	0	0	0	0	0	1
Cell_189	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	-1	-1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	-1	0	0	0	0	0	0	1
Cell_190	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	1	0	-1	1	0	0	-1	0	1	-1	1	0	-1	0	-1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	-1	0	0	1
Cell_191	0	0	1	1	0	0	0	-1	0	-1	1	1	0	0	-1	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	1	1	0	0	-1	0	-1	0	-1	0	0	1	0	1	0	0	-1	0	0
Cell_192	0	0	1	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_193	0	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	0	0	-1	0	-1	1	0	0	1	1	0	0	0	0	-1	0	0
Cell_194	0	-1	0	0	1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_195	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_196	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	0	1	-1	-1	1	0	-1	-1	0	0	1	-1	0	0	0	0	-1
Cell_197	0	0	1	0	0	-1	0	0	1	0	0	0	0	0	-1	0	1	1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_198	-1	0	-1	1	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	1	-1
Cell_199	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-1	0	0	-1	0	0	-1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	-1	1
Cell_200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	-1	1	0	0	0	-1	0
Cell_201	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-1	-1	0	-1	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	-1	0	0	0	1
Cell_202	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	1	1	0	0	1	0	0	-1	0	0
Cell_203	0	0	1	0	0	0	0	0	1	-1	-1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	1	1	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0
Cell_204	0	0	1	0	0	0	0	0	0	0	0	1	0	0	-1	-1	0	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	1	0	-1	0	0
Cell_205	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	-1	0	-1	0	1	1	0	1	-1	0	-1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0
Cell_206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1
Cell_207	0	-1	1	-1	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	-1	0	1	1	-1	0	0
Cell_208	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	-1	0	-1	0	-1	0	1	-1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0
Cell_209	0	0	0	1	0	-1	0	1	1	0	0	0	-1	0	0	0	0	0	0	1	1	0	0	-1	0	1	-1	0	0	-1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
Cell_210	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	1	-1	0	0
Cell_211	0	0	1	0	0	-1	0	1	0	-1	1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	-1	0	-1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_212	0	0	1	0	0	0	0	0	0	0	0	1	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	-1	0
Cell_213	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	1	-1	0	-1
Cell_214	1	1	0	0	0	0	0	-1	1	0	-1	0	0	-1	0	0	-1	0	0	0	0	0	0	0	1	0	0	-1	0	-1	0	0	0	0	1	1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0
Cell_215	-1	-1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	1	-1	0	-1	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_216	-1	-1	0	1	-1	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	1	0	0	0	0	0	1	0	-1	0	0	0	0	0	1
Cell_217	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	-1	0	0	1	-1	0	0	0	0	-1
Cell_218	-1	0	0	1	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	-1	1	0	0	0	0	0	-1	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	-1	-1	-1
Cell_219	0	-1	0	0	0	1	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	-1	-1	0	0
Cell_220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_221	0	0	0	0	0	0	1	1	0	0	0	0	-1	0	0	0	-1	1	0	0	-1	0	-1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	1	0	0	-1
Cell_222	0	0	0	0	0	0	0	0	1	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	1	0	1	1	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
Cell_223	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	1	-1	0	0
Cell_224	0	1	-1	0	0	-1	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	1	0	1	-1	1	0	-1	0	-1	-1	-1	-1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_225	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	-1	1	0	1	1	0	0	0	0
Cell_226	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	1
Cell_227	0	0	0	0	0	0	1	1	0	1	-1	0	0	0	0	0	1	0	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	-1	0	0	0
Cell_228	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	0	0	-1	0	0	1	1	1	0	1	-1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	-1	-1	0	0
Cell_229	0	0	0	0	0	0	0	0	1	0	-1	0	-1	-1	0	1	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_230	0	-1	0	0	0	0	1	0	0	0	0	1	-1	0	0	0	0	0	-1	1	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	-1	-1	0	0	0	1	0	0	0	0	0	-1
Cell_231	-1	0	0	1	0	-1	0	0	1	1	-1	0	0	1	0	0	0	0	0	0	0	0	0	-1	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	-1	-1	0	0
Cell_232	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	-1	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	1	1	0	0	1	0	0	0	0	0
Cell_233	0	0	0	0	0	-1	1	0	0	0	0	0	-1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	1	0	1	0	0	0	0	-1	1	0	1	1	0	0	0	0	0	1	-1	0	0	0	0	-1
Cell_234	0	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_235	0	0	0	0	0	0	-1	0	1	0	-1	0	0	1	0	0	0	1	-1	0	0	-1	1	1	1	0	0	-1	0	-1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	-1	-1	0	0
Cell_236	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	-1	-1	0	0
Cell_237	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	-1	0	-1	1	0	0	0	-1	-1	0	0	0	0	0	1	0	0	1	0	-1	0	-1
Cell_238	0	0	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	-1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	-1	0	0	0
Cell_239	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	1	0	-1	0	0	-1	0	0	-1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1
Cell_240	0	0	1	0	-1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_241	0	0	0	0	0	0	1	0	0	0	1	0	-1	0	0	0	0	0	0	1	0	1	-1	0	0	0	1	0	0	-1	0	0	0	1	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
