	TF_1	TF_2	TF_3	TF_4	TF_5	TF_6	TF_7	TF_8	TF_9	TF_10	TF_11	TF_12	TF_13	TF_14	TF_15	TF_16	TF_17	TF_18	TF_19	TF_20	TF_21	TF_22	TF_23	TF_24	TF_25	TF_26	TF_27	TF_28	TF_29	TF_30	TF_31	TF_32	TF_33	TF_34	TF_35	TF_36	TF_37	TF_38	TF_39	TF_40	TF_41	TF_42	TF_43	TF_44	TF_45	TF_46	TF_47	TF_48	TF_49	TF_50	TF_51	TF_52	TF_53	TF_54	TF_55	TF_56	TF_57	TF_58	TF_59	TF_60	TF_61	TF_62	TF_63	TF_64	TF_65	TF_66	TF_67	TF_68	TF_69	TF_70	TF_71	TF_72	TF_73	TF_74	TF_75	TF_76	TF_77	TF_78	TF_79	TF_80	TF_81	TF_82	TF_83	TF_84	TF_85	TF_86	TF_87	TF_88	TF_89	TF_90	TF_91	TF_92	TF_93	TF_94	TF_95	TF_96	TF_97	TF_98	TF_99	TF_100
Cell_209	1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	-1	0	0	1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	1
Cell_210	0	0	1	0	0	1	0	0	0	0	1	0	0	-1	0	0	0	1	0	0	0	1	0	-1	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	1	-1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0
Cell_211	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	1	-1	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1
Cell_212	0	0	0	0	0	1	0	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	-1	-1	0	1	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_213	0	-1	0	0	0	0	0	-1	0	1	0	0	0	1	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	1	1	0	0	0	0	0	0
Cell_214	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	1	0	0	1
Cell_215	0	-1	0	-1	1	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	0	0	0	0
Cell_216	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	1	0	-1	1	0	0	0	-1	1	0	0	0	0	0	0	0
Cell_217	0	0	0	0	-1	-1	0	-1	0	0	1	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Cell_218	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	1	0	0	0	-1	0	0	0	0	-1	0	1	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_219	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0
Cell_220	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
Cell_221	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	0	0	1	-1	0	0	1	1	0	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	-1	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Cell_222	0	1	0	0	0	-1	0	1	-1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	-1	0	0	0	0	0	1	0	-1	0	0	0	0	1	1	1	0	0	0	1	0
Cell_223	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	1	1	0	0	0	0	-1	0	0	0	0	0	0
Cell_224	-1	1	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0
Cell_225	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	1	-1	1	0	0	0	0	0	0	0	-1	1	0	0	1	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0
Cell_226	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	-1	0	-1	0	0	1	0	-1	0	0	-1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Cell_227	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	1	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	-1	1	-1	0
Cell_228	0	0	-1	0	0	0	0	0	1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	-1	1	0	0	0	-1	-1	0	-1	0	0	0	0	1	0	0	0	0
Cell_229	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	-1	-1	0	0	0	0	0	0	0	0
Cell_230	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	1	0	0	1	0	0	0	0	0	-1	0	1	0	0	0	1	0	0	0	0	0	0	1	-1	1	1	1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	-1	0	1	-1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-1	1	0	-1	0	0	0	0	1	0	-1	1	0	0	0
Cell_231	-1	1	0	0	1	0	0	0	-1	0	0	1	0	0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	0	-1	1	1	0	0	0	0	0	0	0	1	-1	0	-1	0	0	0	0
Cell_232	0	0	0	0	0	-1	1	1	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cell_233	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0
Cell_234	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	1	0	0	1	0	-1	0	-1	0	0	0	0	1	0	1	0	0	0	-1	-1	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	-1
Cell_235	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1	-1	0	0	0
Cell_236	0	0	1	0	0	0	0	0	0	0	-1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	-1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cell_237	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	-1	1	0	0	0	0	-1	0	1	0	0	0	0	1	0	0	-1	0	0	0	0	0	1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	-1
Cell_238	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	1	1	1	-1	0	0	-1	0	1	0	0	-1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Cell_239	0	1	-1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	-1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	-1	0	0	0	0	1	0	-1	0	0	0	0	0	1	0	0	1	-1	-1	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
Cell_240	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	-1
Cell_241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	-1	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	0	-1	0	1	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1
Cell_242	0	0	0	0	0	0	0	0	-1	1	0	1	0	-1	1	0	1	0	0	0	0	1	-1	-1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0
Cell_243	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	0	1	0	0	-1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0
Cell_244	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	-1	1	-1	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	-1	0	1	0	0	0	-1	1	0	0
Cell_245	0	1	-1	0	0	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	-1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	1	-1	1	1	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	1	0	0	0	0	0	0	0	0
Cell_246	0	0	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	1	-1	-1	-1	0	0	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	1	0	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Cell_247	0	1	-1	0	0	0	0	-1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	-1	0
Cell_248	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cell_249	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	0	0	0	0	-1	-1	1	0	0	-1
Cell_250	0	1	1	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	1	0	1	1	1	0	1	0	0	-1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	-1	-1	0	-1	0	-1
Cell_251	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cell_252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	1	1	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	1	-1	0	1	0	0	-1	0	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1
Cell_253	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	1	0	0	0	0	0	-1	0	0	0	-1	1	0	0	0	-1	0	0	0	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	1	0	0	-1	0	0	0	0	0	1	0	0
Cell_254	0	0	0	1	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	1	-1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	0	-1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0
Cell_255	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	1	1	-1	0	-1	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	-1	0	1	1	1	0	0	0
Cell_256	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	-1	0	1	1	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	-1	0	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	-1	0	0	-1	0	0	0	0	-1	0	0	0	0
Cell_257	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0
Cell_258	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	-1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Cell_259	0	0	0	0	0	-1	0	-1	0	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	1	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cell_260	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Cell_261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	0	-1	0	-1	0	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	1
Cell_262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	-1	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cell_264	-1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
Cell_265	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0
Cell_266	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
Cell_267	0	0	0	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_268	1	-1	-1	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	0	0
Cell_269	0	0	1	0	0	1	-1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	-1	0	0	0	0	0	0	-1	0	0	0	1	-1	0	0	0	0	1	0	0
Cell_270	-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	1	0
